Player,Game,Team,Kills,Deaths,Damage
0,0,0,17.0,18.0,2465.0
2,0,0,17.0,26.0,2007.0
4,0,0,12.0,23.0,1880.0
1,0,0,21.0,25.0,2933.0
5,0,1,26.0,18.0,2752.0
6,0,1,23.0,19.0,2760.0
8,0,1,15.0,12.0,1972.0
7,0,1,28.0,18.0,3184.0
0,1,0,10.0,4.0,1284.0
2,1,0,6.0,4.0,745.0
4,1,0,9.0,5.0,943.0
1,1,0,3.0,5.0,420.0
5,1,1,4.0,6.0,702.0
6,1,1,4.0,7.0,499.0
8,1,1,3.0,6.0,558.0
7,1,1,7.0,9.0,1158.0
0,2,0,14.0,11.0,1508.0
2,2,0,23.0,20.0,2779.0
4,2,0,17.0,16.0,2249.0
1,2,0,21.0,12.0,2530.0
5,2,1,11.0,16.0,1919.0
6,2,1,17.0,20.0,1880.0
8,2,1,18.0,15.0,2415.0
7,2,1,13.0,24.0,1832.0
0,3,0,27.0,19.0,3236.0
2,3,0,25.0,25.0,3086.0
4,3,0,15.0,24.0,2029.0
1,3,0,19.0,20.0,2266.0
5,3,1,23.0,22.0,2176.0
6,3,1,23.0,23.0,2585.0
8,3,1,20.0,21.0,2478.0
7,3,1,22.0,20.0,2971.0
11,4,2,19.0,20.0,2330.0
9,4,2,27.0,17.0,2946.0
12,4,2,15.0,20.0,2067.0
10,4,2,21.0,21.0,2765.0
13,4,3,23.0,18.0,2402.0
14,4,3,15.0,24.0,2092.0
15,4,3,23.0,21.0,2974.0
16,4,3,17.0,19.0,2191.0
11,5,2,5.0,6.0,544.0
9,5,2,2.0,5.0,219.0
12,5,2,2.0,5.0,310.0
10,5,2,2.0,6.0,409.0
13,5,3,7.0,4.0,847.0
14,5,3,5.0,3.0,672.0
15,5,3,6.0,2.0,743.0
16,5,3,4.0,2.0,401.0
11,6,2,22.0,26.0,3393.0
9,6,2,28.0,20.0,3069.0
12,6,2,17.0,20.0,2235.0
10,6,2,29.0,32.0,3356.0
13,6,3,26.0,23.0,3130.0
14,6,3,24.0,21.0,3496.0
15,6,3,24.0,26.0,2955.0
16,6,3,24.0,26.0,3085.0
17,8,4,14.0,22.0,1711.0
18,8,4,21.0,21.0,2790.0
19,8,4,23.0,20.0,2752.0
20,8,4,21.0,18.0,2386.0
21,8,5,20.0,21.0,2519.0
22,8,5,22.0,21.0,2852.0
23,8,5,18.0,14.0,2005.0
24,8,5,21.0,23.0,2247.0
17,9,4,8.0,3.0,741.0
18,9,4,7.0,4.0,844.0
19,9,4,7.0,5.0,849.0
20,9,4,3.0,3.0,407.0
21,9,5,5.0,6.0,855.0
22,9,5,2.0,7.0,362.0
23,9,5,4.0,6.0,611.0
24,9,5,4.0,6.0,528.0
17,10,4,12.0,14.0,1485.0
18,10,4,12.0,16.0,1672.0
19,10,4,11.0,21.0,1577.0
20,10,4,12.0,16.0,1543.0
21,10,5,16.0,15.0,1704.0
22,10,5,21.0,10.0,2584.0
23,10,5,12.0,10.0,1472.0
24,10,5,18.0,12.0,2121.0
17,11,4,24.0,24.0,2912.0
18,11,4,21.0,21.0,2871.0
19,11,4,19.0,23.0,2470.0
20,11,4,19.0,19.0,2314.0
21,11,5,30.0,18.0,3368.0
22,11,5,23.0,22.0,2662.0
23,11,5,15.0,20.0,1782.0
24,11,5,19.0,23.0,2620.0
25,12,6,15.0,21.0,1832.0
26,12,6,15.0,19.0,1657.0
27,12,6,15.0,20.0,1808.0
28,12,6,12.0,20.0,1665.0
29,12,7,24.0,10.0,3014.0
30,12,7,22.0,17.0,2732.0
31,12,7,21.0,15.0,2478.0
32,12,7,13.0,15.0,1331.0
25,13,6,12.0,7.0,1637.0
26,13,6,8.0,9.0,1057.0
27,13,6,6.0,8.0,707.0
28,13,6,6.0,10.0,1153.0
29,13,7,16.0,7.0,2094.0
30,13,7,6.0,9.0,652.0
31,13,7,4.0,8.0,1366.0
32,13,7,8.0,8.0,924.0
25,14,6,18.0,30.0,2591.0
26,14,6,24.0,27.0,2787.0
27,14,6,20.0,20.0,2496.0
28,14,6,33.0,25.0,3509.0
29,14,7,35.0,21.0,3835.0
30,14,7,26.0,25.0,3230.0
31,14,7,16.0,25.0,2540.0
32,14,7,25.0,24.0,3234.0
25,15,6,16.0,17.0,1851.0
26,15,6,12.0,21.0,1416.0
27,15,6,9.0,21.0,1263.0
28,15,6,16.0,20.0,1901.0
29,15,7,30.0,12.0,3011.0
30,15,7,22.0,11.0,2366.0
31,15,7,14.0,15.0,1908.0
32,15,7,13.0,15.0,1697.0
25,16,6,7.0,4.0,525.0
26,16,6,8.0,3.0,1008.0
27,16,6,4.0,5.0,729.0
28,16,6,8.0,5.0,717.0
29,16,7,3.0,7.0,525.0
30,16,7,5.0,7.0,842.0
31,16,7,8.0,6.0,946.0
32,16,7,1.0,7.0,100.0
13,17,3,18.0,23.0,2420.0
14,17,3,19.0,17.0,2060.0
15,17,3,18.0,25.0,2862.0
16,17,3,19.0,19.0,2341.0
33,17,8,13.0,18.0,1576.0
34,17,8,17.0,14.0,2276.0
35,17,8,31.0,21.0,3135.0
36,17,8,23.0,21.0,3109.0
13,18,3,11.0,5.0,1547.0
14,18,3,2.0,9.0,554.0
15,18,3,7.0,8.0,1132.0
16,18,3,10.0,8.0,1272.0
33,18,8,6.0,6.0,765.0
34,18,8,6.0,9.0,707.0
35,18,8,11.0,8.0,1502.0
36,18,8,7.0,7.0,763.0
13,19,3,32.0,24.0,3481.0
14,19,3,28.0,22.0,3214.0
15,19,3,16.0,25.0,2574.0
16,19,3,26.0,24.0,3346.0
33,19,8,24.0,24.0,3111.0
34,19,8,23.0,21.0,2885.0
35,19,8,28.0,26.0,3204.0
36,19,8,20.0,31.0,2755.0
13,20,3,28.0,22.0,3642.0
14,20,3,27.0,15.0,3261.0
15,20,3,22.0,30.0,2617.0
16,20,3,28.0,26.0,3402.0
33,20,8,15.0,24.0,2014.0
34,20,8,25.0,27.0,3294.0
35,20,8,25.0,27.0,3273.0
36,20,8,28.0,27.0,3534.0
37,21,9,26.0,21.0,3162.0
38,21,9,18.0,23.0,2079.0
39,21,9,25.0,32.0,3220.0
40,21,9,31.0,25.0,3454.0
41,21,10,28.0,26.0,3296.0
42,21,10,26.0,25.0,2923.0
43,21,10,30.0,23.0,3437.0
44,21,10,17.0,26.0,2434.0
37,22,9,3.0,7.0,614.0
38,22,9,4.0,8.0,560.0
39,22,9,6.0,7.0,816.0
40,22,9,5.0,6.0,440.0
41,22,10,8.0,5.0,1019.0
42,22,10,6.0,5.0,572.0
43,22,10,9.0,4.0,1028.0
44,22,10,5.0,4.0,774.0
37,23,9,13.0,15.0,1506.0
38,23,9,12.0,20.0,1679.0
39,23,9,19.0,24.0,2193.0
40,23,9,19.0,19.0,2322.0
41,23,10,16.0,17.0,2130.0
42,23,10,15.0,14.0,1935.0
43,23,10,27.0,16.0,2885.0
44,23,10,20.0,16.0,2349.0
29,24,7,25.0,22.0,3315.0
30,24,7,20.0,29.0,3177.0
